date_and_time,PM2.5,O3,TEMPERATURE,PRESSURE,DEWPOINT,RAIN
3/1/2013 0:00,-0.8801766,0.10401475,-1.186726933,0.984646467,-1.575109501,-0.081435202
3/1/2013 1:00,-0.85684829,0.174137291,-1.221804958,1.031866837,-1.59687856,-0.081435202
3/1/2013 2:00,-0.891840754,0.051422844,-1.265652489,1.050754985,-1.625903972,-0.081435202
3/1/2013 4:00,-0.891840754,-0.351781764,-1.291961007,1.192416096,-1.771031031,-0.081435202
3/1/2013 5:00,-0.868512445,0.13907602,-1.35334755,1.249080541,-1.727492913,-0.081435202
3/1/2013 6:00,-0.891840754,0.086484115,-1.423503599,1.315189059,-1.669442089,-0.081435202
3/1/2013 7:00,-0.891840754,-0.036230331,-1.283191501,1.437962022,-1.640416678,-0.081435202
3/1/2013 8:00,-0.950161528,-0.106352872,-1.177957427,1.494626466,-1.604134913,-0.081435202
3/1/2013 9:00,-0.950161528,-0.001169061,-1.081492859,1.50407054,-1.625903972,-0.081435202
3/1/2013 10:00,-0.950161528,0.086484115,-1.028875823,1.494626466,-1.734749266,-0.081435202
3/1/2013 11:00,-0.950161528,0.10401475,-0.941180761,1.485182392,-1.727492913,-0.081435202
3/1/2013 12:00,-0.950161528,0.191667926,-0.800868663,1.400185726,-1.691211148,-0.081435202
3/1/2013 13:00,-0.950161528,0.244259831,-0.730712613,1.296300911,-1.647673031,-0.081435202
3/1/2013 14:00,-0.950161528,0.279321101,-0.634248046,1.267968689,-1.640416678,-0.081435202
3/1/2013 15:00,-0.845184136,0.296851737,-0.678095576,1.249080541,-1.611391266,-0.081435202
3/1/2013 16:00,-0.85684829,0.279321101,-0.695634589,1.249080541,-1.560596795,-0.081435202
3/1/2013 17:00,-0.833519981,0.191667926,-0.748251626,1.305744985,-1.59687856,-0.081435202
3/1/2013 18:00,-0.868512445,0.033892209,-0.853485699,1.4096298,-1.611391266,-0.081435202
3/1/2013 19:00,-0.868512445,-0.106352872,-0.932411255,1.485182392,-1.567853148,-0.081435202
3/1/2013 20:00,-0.85684829,-0.158944777,-0.985028292,1.579623133,-1.560596795,-0.081435202
3/1/2013 21:00,-0.868512445,-0.211536683,-1.020106316,1.674063874,-1.495289619,-0.081435202
3/1/2013 22:00,-0.868512445,-0.386843034,-1.037645329,1.702396096,-1.509802325,-0.081435202
3/1/2013 23:00,-0.810191671,-0.43943494,-1.12534039,1.71184017,-1.531571383,-0.081435202
3/2/2013 0:00,-0.926833218,-0.299189858,-1.169187921,1.768504614,-1.52431503,-0.081435202
3/2/2013 1:00,-0.950161528,-0.281659223,-1.23934397,1.768504614,-1.466264207,-0.081435202
3/2/2013 2:00,-0.950161528,-0.211536683,-1.318269526,1.71184017,-1.429982442,-0.081435202
3/2/2013 3:00,-0.950161528,-0.229067318,-1.46735113,1.721284244,-1.27759903,-0.081435202
3/2/2013 4:00,-0.950161528,-0.264128588,-1.423503599,1.730728318,-1.321137148,-0.081435202
3/2/2013 5:00,-0.891840754,0.016361574,-1.318269526,1.674063874,-1.495289619,-0.081435202
3/2/2013 6:00,-0.891840754,-0.334251129,-1.318269526,1.607955355,-1.495289619,-0.081435202
3/2/2013 7:00,-0.950161528,-0.842639548,-1.309500019,1.674063874,-1.364675266,-0.081435202
3/2/2013 8:00,-0.938497373,-0.684863832,-1.213035452,1.636287577,-1.415469736,-0.081435202
3/2/2013 9:00,-0.938497373,-0.579680021,-1.116570884,1.645731651,-1.415469736,-0.081435202
3/2/2013 10:00,-0.926833218,-0.632271926,-1.046414835,1.598511281,-1.437238795,-0.081435202
